creation_date,accession_number,artist,credit_line,display_title,display_dimensions,medium,media_support,facility,current_location,location_description,street_address_or_intersection,zip_code,latitude,longitude,number_of_districts,cultural_districts,supervisor_district,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
2005,2006.4.a-d,"Saulls, Vicki",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Eureka Valley Recreation Center,Welcome Hands,15 1/2 x 15 1/2 x 1 in.,cast concrete,cast concrete on concrete,Eureka Valley Recreation Center,Public Display,External Columns,100 Collingwood Street,94114,37.76048000800006,-122.43624301699998,1,Castro Cultural District,08,POINT (-122.43624301699998 37.76048000800006),38,3,5,5,38
2006,2007.31.2.a-d,"Margrill, Anita and Nagasawa, Nobuho",Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,Untitled (Canopy panels),60 x 108 x 144 in.,Galvanized steel,Galvanized steel,3rd Street Light Rail,Public Display,Bayshore Blvd. And Sunnydale Ave.,Bayshore Boulevard & Sunnydale Avenue,94134,37.70890003900007,-122.40522989199998,0,,10,POINT (-122.40522989199998 37.70890003900007),75,9,9,40,75
2008,2008.10.c,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column D, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel,Sava Pool,Public Display,Natatorium,2695 19th Avenue,94116,37.737793004000025,-122.475662018,1,Sunset Chinese Cultural District,04,POINT (-122.475662018 37.737793004000025),40,10,7,35,40
1921,1922.1,"Patigian, Haig",Collection of the City and County of San Francisco; Gift of Dr. Morris Hertzstein,General John J. Pershing (1860-1948),155  x 84 1/2  x 84 1/2 in.,Bronze,Bronze on granite,Golden Gate Park,Public Display,Near Intersection With Bowl Dr.,Music Concourse Drive & Bowl Drive,94118,37.769615833000046,-122.467718634,0,,01,POINT (-122.467718634 37.769615833000046),9,8,4,12,9
1934,1934.24,"Chesse, Ralph A.",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,Children at Play,108 x 72 in.,Fresco,Fresco,Coit Tower,Public Display,2nd Floor,1 Telegraph Hill Boulevard,94133,37.80231199100007,-122.40588401599994,0,,03,POINT (-122.40588401599994 37.80231199100007),18,6,3,23,18
2006,2007.8.3.a-j,"Buchen, Bill and Mary",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Third Street Light Rail Project,Untitled (Paving inserts),"24""h x various width",Stainless steel,Stainless steel on concrete,3rd Street Light Rail,Public Display,3Rd And South St.,3rd Street & South Street,94158,37.768800053000064,-122.38920989599995,0,,06,POINT (-122.38920989599995 37.768800053000064),34,1,10,4,34
1998,1998.11.a-f,"Preston, Ann",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Civic Center Courthouse,Family Court Waiting Area,"floor 436""l x 436""w; panels 72""h x 60w; bench 27""h x 64""diam","Zinc, terrazzo and marble, cast glass and bronze","Zinc, terrazzo and marble, cast glass and bronze",Civic Center Courthouse,Public Display,4Th Floor Waiting Area,400 McAllister Street,94102,37.780413012000054,-122.41879499599997,0,,06,POINT (-122.41879499599997 37.780413012000054),21,4,10,36,21
1934,1934.19.b,"Oldfield, Otis",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,Seabirds (Pelicans),108 x 54 in.,Oil,Oil on canvas,Coit Tower,Public Display,Elevator Lobby,1 Telegraph Hill Boulevard,94133,37.80231199100007,-122.40588401599994,0,,03,POINT (-122.40588401599994 37.80231199100007),18,6,3,23,18
2008,2008.10.b,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column B, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,2695 19th Avenue,94116,37.737793004000025,-122.475662018,1,Sunset Chinese Cultural District,04,POINT (-122.475662018 37.737793004000025),40,10,7,35,40
1968,1968.45,Vaea,Collection of the City and County of San Francisco; Purchased by the San Francisco Art Commission for Health Center #3,Untitled,32  x 22  x 19 in.,Ceramic,Ceramic on steel base,Silver Avenue Family Health Center #3,City Agency,Lobby Stairwell,1525 Silver Avenue,94134,37.73233600800006,-122.40639296499997,0,,09,POINT (-122.40639296499997 37.73233600800006),91,2,2,25,91
,1986.24,"Saunders, Raymond",Purchased by the San Francisco Art Commission for the San Francisco International Airport,Letter's Missing,"77"" H X 79"" W x 1.5""D",Mixed media,Mixed media on canvas,Terminal 3 East,SFO,"Pre-Security E-Plaza, Meet and Greet",,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1987,1987.44.u,"Kogure, Kimiko",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Stern Grove Historic Renovation,Stern Grove Trocadero Clubhouse [first floor window],40 x 30 in.,Stained glass,Stained glass on wood,Trocadero Clubhouse,Public Display,"Stern Grove Park, Stern Grove Entry Rd.",Stern Grove Entry Road & Wawona Street,94132,37.74024621600006,-122.46773612799997,0,,07,POINT (-122.46773612799997 37.74024621600006),46,10,8,41,46
2000,2000.13,"Barth, Anders",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Tenderloin Police Station,First Person Plural,"24' 4"" X 8' 2"" overall","Fired clay, glazes","Fired clay, glazes",SFPD   Tenderloin Station,City Agency,Jones Street Facade,301 Eddy Street,94102,37.78378899100005,-122.41294602,0,,06,POINT (-122.41294602 37.78378899100005),20,5,10,36,20
2006,2007.27,"Margrill, Anita and Nagasawa, Nobuho",Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,Untitled (Pole-mounted sculpture),300 x 24 x 24 in.,Stainless steel,Stainless steel on painted steel,3rd Street Light Rail,Public Display,3Rd St. At Gilman Ave.,3rd Street & Gilman Avenue,94124,37.72237005100004,-122.39556991599996,1,African American Arts and Cultural District,10,POINT (-122.39556991599996 37.72237005100004),88,2,9,1,88
1991-1997,1997.4.1,"Riley, Cheryl",Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Bayview Police Station,Granary Bobo Bench,"11' 6"" H X 66"" (dia)","Custom pre-cast concrete with integral color, crystals and minerals","Custom pre-cast concrete with integral color, crystals and minerals",SFPD   Bayview Station,City Agency,Entrance Lobby,201 Williams Avenue,94124,37.729802997000036,-122.39787996899999,1,African American Arts and Cultural District,10,POINT (-122.39787996899999 37.729802997000036),86,2,9,1,86
